date,open,high,low,close,volume,open_interest
2020-01-03,14015.7045,14136.4693,13986.8228,14030.9875,354484.0,682997.0
2020-01-06,13972.7946,14149.2852,13858.8324,14092.5656,444084.0,684460.0
2020-01-07,14074.6552,14283.1577,14072.2316,14241.7511,501675.0,699936.0
2020-01-08,14223.6094,14251.8635,14054.1045,14192.1733,381908.0,697257.0
2020-01-09,14190.0448,14402.5659,14190.0448,14284.6426,606073.0,708020.0
2020-01-10,14311.8732,14386.0455,14245.0762,14310.7865,305810.0,708078.0
2020-01-13,14325.4708,14467.5014,14296.706,14458.1828,379286.0,711248.0
2020-01-14,14447.6988,14477.5801,14102.2553,14189.8679,439745.0,698503.0
2020-01-15,14221.1922,14267.3535,13950.7616,13960.2589,437839.0,682127.0
2020-01-16,13949.6549,14142.6353,13928.5969,14053.7229,329430.0,679511.0
2020-01-17,14034.2456,14114.1092,13961.1884,14064.4626,232385.0,672708.0
2020-01-20,14136.995,14209.7666,14000.0601,14029.3202,294756.0,667736.0
2020-01-21,14010.301,14111.1056,13791.7885,13830.0823,373704.0,646552.0
2020-01-22,13883.4514,13883.4514,13376.2023,13741.5984,606389.0,617531.0
2020-01-23,13759.5812,13764.9537,13336.8423,13477.7029,393818.0,598921.0
2020-02-03,12640.134,12929.3088,12602.1212,12602.6484,319543.0,576413.0
2020-02-04,12187.4686,12855.5038,12185.5579,12665.3341,359487.0,580312.0
2020-02-05,12752.2342,13075.4252,12731.6227,13009.365,448730.0,601200.0
2020-02-06,12981.2354,13267.4188,12892.9594,13191.7303,468995.0,631888.0
2020-02-07,13136.7533,13216.6462,13135.6029,13210.9043,221423.0,636075.0
2020-02-10,13114.5107,13187.8289,13089.2213,13153.1063,225317.0,646624.0
2020-02-11,13181.3157,13268.8355,13156.7706,13211.4314,259888.0,649934.0
2020-02-12,13210.8942,13258.1458,12977.8645,13160.7915,341060.0,640120.0
2020-02-13,13186.6523,13237.7273,13087.6671,13136.2898,248240.0,634319.0
2020-02-14,13104.1746,13149.5522,13016.8597,13125.9913,279943.0,634565.0
2020-02-17,13173.8563,13620.2107,13170.5281,13620.0772,762967.0,684315.0
2020-02-18,13499.7444,13523.5187,13235.9718,13297.7188,602034.0,653908.0
2020-02-19,13326.0426,13430.1547,13323.3969,13380.0223,281958.0,650955.0
2020-02-20,13458.6342,13491.6555,13361.4981,13446.1227,283572.0,657507.0
2020-02-21,13421.1487,13493.9622,13342.0871,13383.3904,295130.0,655140.0
2020-02-24,13314.7816,13345.4856,12910.3828,13057.5741,520808.0,657759.0
2020-02-25,12979.1,13170.3349,12901.4253,13141.678,412499.0,669408.0
2020-02-26,13018.3245,13056.6068,12921.2921,12934.3189,311193.0,665645.0
2020-02-27,12882.9151,12917.8098,12748.59,12754.8257,294628.0,654996.0
2020-02-28,12472.9037,12537.8671,12306.9277,12308.9233,531264.0,633975.0
2020-03-02,12254.8881,12684.9361,12251.152,12535.9221,468617.0,625957.0
2020-03-03,12687.5825,12863.7212,12622.9489,12674.407,549751.0,638950.0
2020-03-04,12563.1859,12666.8588,12561.6586,12646.8432,315507.0,640901.0
2020-03-05,12636.4782,13014.7503,12636.4782,12926.8716,559827.0,643914.0
2020-03-06,12861.7356,12909.9321,12750.5939,12767.0817,506256.0,645234.0
2020-03-09,12347.1034,12484.3911,12310.3927,12331.8722,568685.0,636178.0
2020-03-10,12459.7311,12709.4561,12424.2917,12617.2903,463760.0,637083.0
2020-03-11,12598.2635,12676.9223,12478.7988,12491.7798,297057.0,630238.0
2020-03-12,12490.1694,12541.4344,12215.7639,12319.5764,547034.0,644130.0
2020-03-13,12139.4938,12141.9614,11850.8283,11959.0946,812841.0,659307.0
2020-03-16,11872.0321,11889.4962,11623.724,11623.724,559620.0,672678.0
2020-03-17,11587.1286,11799.4938,11581.7349,11751.4588,509208.0,665147.0
2020-03-18,11621.2779,11871.4563,11547.5852,11726.4846,555725.0,629994.0
2020-03-19,11664.2296,11752.413,11287.5776,11288.762,461217.0,630900.0
