date,open,high,low,close,volume,open_interest
2020-01-03,1487.1748,1505.6369,1485.1386,1503.8881,152302.0,231569.0
2020-01-06,1506.0435,1512.0279,1499.0011,1505.1696,124090.0,243942.0
2020-01-07,1507.1365,1508.941,1503.0807,1505.0739,65317.0,249189.0
2020-01-08,1503.9162,1512.9961,1503.9162,1505.8018,71651.0,249408.0
2020-01-09,1505.3965,1507.5187,1499.6979,1500.6653,94072.0,262646.0
2020-01-10,1500.7002,1508.4168,1500.6926,1504.4416,66768.0,260504.0
2020-01-13,1499.869,1501.7245,1487.8397,1487.8402,141870.0,276066.0
2020-01-14,1490.4377,1494.6279,1489.5354,1490.6517,58113.0,272979.0
2020-01-15,1496.386,1523.903,1496.386,1501.2613,115158.0,284908.0
2020-01-16,1501.514,1508.1286,1495.355,1504.2007,92608.0,276319.0
2020-01-17,1501.3611,1505.2024,1500.4403,1503.083,43776.0,273224.0
2020-01-20,1503.2075,1505.8664,1491.4852,1502.0545,81960.0,270259.0
2020-01-21,1502.0782,1502.0782,1490.0008,1491.9941,75857.0,260575.0
2020-01-22,1492.1835,1501.3261,1482.0404,1497.9111,120685.0,250990.0
2020-01-23,1496.2623,1496.831,1471.6855,1472.5741,99940.0,228624.0
2020-02-03,1384.742,1422.4483,1381.9139,1382.2881,180739.0,215836.0
2020-02-04,1382.3756,1402.3361,1379.3045,1386.067,166411.0,229202.0
2020-02-05,1385.3168,1398.6551,1374.5461,1391.1045,183966.0,242722.0
2020-02-06,1392.4455,1435.2206,1387.6585,1423.5333,212867.0,213682.0
2020-02-07,1422.2991,1422.8367,1411.5457,1418.8373,76140.0,211442.0
2020-02-10,1415.092,1424.878,1412.3009,1421.737,61812.0,219296.0
2020-02-11,1421.8744,1438.4225,1419.4752,1427.3122,122675.0,222167.0
2020-02-12,1427.2047,1432.8857,1420.8937,1430.2966,71950.0,223024.0
2020-02-13,1428.7658,1433.098,1406.9251,1412.3094,161351.0,240658.0
2020-02-14,1410.4413,1415.4525,1408.607,1413.9567,54745.0,234982.0
2020-02-17,1413.4701,1420.2498,1400.673,1417.1077,93003.0,232370.0
2020-02-18,1416.5399,1417.888,1408.3204,1410.7046,77932.0,234608.0
2020-02-19,1412.6015,1421.7345,1410.117,1416.3043,56643.0,228556.0
2020-02-20,1416.2891,1437.5799,1414.3423,1436.3993,164773.0,222035.0
2020-02-21,1436.6294,1444.7494,1430.5644,1438.7588,113039.0,225625.0
2020-02-24,1436.0754,1445.6248,1427.401,1444.2333,137541.0,232721.0
2020-02-25,1435.2354,1452.2505,1431.6963,1438.664,154694.0,239728.0
2020-02-26,1432.9443,1440.2237,1429.3888,1435.552,79190.0,234698.0
2020-02-27,1434.9872,1435.84,1423.7391,1423.7391,99941.0,233859.0
2020-02-28,1412.7488,1420.895,1398.6461,1404.3431,188340.0,238836.0
2020-03-02,1404.9946,1440.0269,1398.1254,1426.1727,186577.0,219865.0
2020-03-03,1430.2797,1438.9213,1409.6522,1411.508,132319.0,234608.0
2020-03-04,1410.942,1418.3789,1406.3331,1411.7833,103740.0,232986.0
2020-03-05,1411.9985,1420.5099,1409.9988,1413.7595,89206.0,230577.0
2020-03-06,1410.8511,1415.7589,1400.9977,1407.2544,118847.0,234337.0
2020-03-09,1382.0707,1397.5176,1372.7008,1390.3956,168384.0,230461.0
2020-03-10,1388.6797,1408.2306,1386.7707,1401.5392,114896.0,209579.0
2020-03-11,1402.4154,1410.315,1397.9433,1403.0936,81322.0,204421.0
2020-03-12,1401.9692,1408.0629,1392.3659,1402.8342,105098.0,204826.0
2020-03-13,1396.1819,1406.6067,1374.4525,1384.0429,219707.0,211058.0
2020-03-16,1379.0317,1385.9404,1362.2465,1362.5648,185034.0,233029.0
2020-03-17,1359.7429,1370.1856,1354.7418,1362.5445,135986.0,218495.0
