date,open,high,low,close,volume,open_interest
2020-01-03,14083.7776,14083.7776,13980.4092,14058.1346,144205.0,338831.0
2020-01-06,14049.3319,14122.9054,14035.897,14081.2466,124344.0,332696.0
2020-01-07,14079.3734,14105.335,14026.9683,14052.8248,105740.0,334586.0
2020-01-08,14056.2922,14141.6706,14010.753,14110.5601,102311.0,335514.0
2020-01-09,14088.094,14098.0564,14030.6728,14036.3173,104297.0,331188.0
2020-01-10,14029.5685,14131.296,14029.5685,14125.1651,134919.0,332692.0
2020-01-13,14107.7282,14117.7166,13966.1233,13987.9438,178727.0,323858.0
2020-01-14,13970.3659,14004.1368,13950.1908,13952.8446,129026.0,321211.0
2020-01-15,13951.2599,14026.3094,13937.7976,13993.9523,129178.0,322568.0
2020-01-16,13963.966,14265.0664,13949.6988,14264.5956,221624.0,322748.0
2020-01-17,14254.0342,14312.8949,14183.1668,14232.7579,210685.0,332392.0
2020-01-20,14247.0432,14257.0645,14141.4571,14171.4393,140427.0,330605.0
2020-01-21,14180.7161,14218.8268,14073.9713,14077.9072,120190.0,321029.0
2020-01-22,14094.7041,14216.6181,14068.6197,14142.5136,97711.0,316941.0
2020-01-23,14122.8027,14148.1882,14038.1093,14062.2334,90424.0,310517.0
2020-02-03,13639.1968,13758.9753,13513.3075,13612.3841,238174.0,289339.0
2020-02-04,13584.0586,13625.9027,13555.4298,13616.0724,136923.0,284768.0
2020-02-05,13585.3228,13673.5791,13574.5779,13641.6701,113979.0,291712.0
2020-02-06,13683.3022,13694.0649,13654.4014,13684.2194,54551.0,289395.0
2020-02-07,13690.4357,13738.5929,13682.9837,13737.2051,77704.0,293632.0
2020-02-10,13698.6866,13742.5069,13668.8237,13736.5317,106139.0,304196.0
2020-02-11,13704.6445,13803.0457,13702.9808,13747.756,147911.0,307772.0
2020-02-12,13773.5699,13795.9586,13737.339,13745.3245,83202.0,311864.0
2020-02-13,13751.918,13753.3315,13708.9567,13719.6884,59527.0,310251.0
2020-02-14,13742.6782,13768.9573,13688.897,13706.1957,69775.0,313135.0
2020-02-17,13682.0262,13698.8761,13649.2936,13676.0477,92113.0,327226.0
2020-02-18,13671.6147,13732.0132,13665.8731,13716.8015,93304.0,314299.0
2020-02-19,13724.5474,13731.512,13686.1931,13707.0276,60425.0,323408.0
2020-02-20,13709.6846,13726.1336,13668.0881,13676.9557,69857.0,337523.0
2020-02-21,13674.9273,13674.9273,13593.0463,13597.1196,96417.0,358854.0
2020-02-24,13600.2584,13600.2584,13494.0681,13543.7727,122033.0,358624.0
2020-02-25,13550.3291,13567.5659,13472.8463,13552.8935,101415.0,356944.0
2020-02-26,13532.1521,13551.0995,13505.3278,13507.0951,73744.0,354975.0
2020-02-27,13499.9422,13521.6467,13433.9383,13451.5787,98266.0,365310.0
2020-02-28,13445.0324,13445.0324,13131.4503,13147.3221,232812.0,381375.0
2020-03-02,13259.5208,13317.3571,13209.7654,13305.2619,176084.0,397240.0
2020-03-03,13331.0576,13425.8619,13306.0263,13327.032,114081.0,398709.0
2020-03-04,13354.8045,13354.8045,13151.5067,13243.9612,124086.0,405735.0
2020-03-05,13241.7266,13266.0864,13194.6817,13243.8164,108522.0,406733.0
2020-03-06,13224.148,13228.8203,13096.7459,13173.7631,133518.0,412928.0
2020-03-09,13059.8523,13059.8523,12839.9741,12894.4009,207962.0,420271.0
2020-03-10,12956.7207,13045.8922,12917.0551,12992.8807,136881.0,425851.0
2020-03-11,13005.3237,13013.9018,12938.0089,12941.7247,123333.0,430737.0
2020-03-12,12883.2993,12914.6917,12841.5971,12885.6633,142760.0,430435.0
2020-03-13,12862.0655,13025.3318,12761.4215,12935.557,205662.0,427593.0
2020-03-16,12942.5383,13003.9335,12814.4605,12823.0564,127190.0,434539.0
2020-03-17,12864.7747,12864.7747,12726.8202,12767.6229,145412.0,420469.0
2020-03-18,12700.3267,12742.5571,12276.3272,12325.71,288409.0,422929.0
2020-03-19,12415.7625,12427.4785,11764.2394,11841.6973,282057.0,426128.0
2020-03-20,12018.215,12201.8546,11891.17,12041.0159,259181.0,434420.0
2020-03-23,11767.0447,11767.0447,11330.426,11391.1535,290394.0,443282.0
2020-03-24,11313.6467,11545.4693,11310.6044,11477.1234,164424.0,444132.0
2020-03-25,11482.1284,11745.1046,11459.7947,11745.1046,263723.0,450187.0
2020-03-26,11669.0914,11753.2988,11619.272,11683.5512,206100.0,447467.0
2020-03-27,11702.4847,11790.4864,11610.0052,11765.6964,236958.0,452759.0
2020-03-30,11724.2036,11736.1262,11516.0946,11552.7062,238904.0,456333.0
2020-03-31,11579.7303,11645.4798,11556.4306,11600.7787,155453.0,459962.0
2020-04-01,11618.875,11668.3611,11462.301,11473.7891,195304.0,463444.0
2020-04-02,11454.9687,11533.9016,11263.6055,11506.2087,325227.0,466021.0
2020-04-03,11554.6065,11620.5478,11468.0218,11562.8804,238181.0,464208.0
2020-04-07,11559.5664,11742.2099,11557.6116,11643.8061,211751.0,467298.0
2020-04-08,11612.0659,11663.3348,11543.4814,11640.8919,188877.0,469847.0
2020-04-09,11638.0872,11696.2292,11625.7256,11671.3164,186743.0,467397.0
2020-04-10,11668.1382,11848.5065,11668.1382,11843.9111,204637.0,466141.0
