date,open,high,low,close,volume,open_interest
2020-01-03,49219.8649,49219.8649,48839.5303,48864.9594,209999.0,293581.0
2020-01-06,48627.048,48967.4359,48540.8308,48736.3503,190723.0,293494.0
2020-01-07,48672.7225,48980.2243,48672.0974,48971.2811,117651.0,296486.0
2020-01-08,48851.9983,48937.5304,48625.8595,48830.6086,156825.0,296775.0
2020-01-09,48852.2491,49121.9722,48801.0993,48934.1486,143074.0,300895.0
2020-01-10,48882.1202,49018.5366,48832.1456,48979.9579,99977.0,303893.0
2020-01-13,48894.5972,49194.2716,48705.7392,48925.7654,154839.0,301120.0
2020-01-14,48849.8753,49346.9445,48814.5271,49294.2186,175361.0,306490.0
2020-01-15,49270.5971,49586.5537,49171.5561,49239.1116,137045.0,304520.0
2020-01-16,49240.4351,49381.9331,49160.0534,49198.605,99414.0,298950.0
2020-01-17,49393.4922,49536.2646,49131.727,49253.6163,138830.0,296234.0
2020-01-20,49310.5019,49329.4919,48986.0759,49106.0991,118317.0,293883.0
2020-01-21,49067.134,49083.5075,48327.329,48431.4051,182528.0,283424.0
2020-01-22,48477.2897,48669.1907,48317.1846,48569.9441,109248.0,277051.0
2020-01-23,48375.1925,48407.5043,48002.9033,48059.764,115273.0,270950.0
2020-02-03,44830.2644,45254.1076,44804.8224,45123.0818,223455.0,269483.0
2020-02-04,44838.7341,45344.7067,44810.5797,45336.4658,150702.0,289972.0
2020-02-05,45146.3027,45722.2263,45131.6263,45642.7975,137455.0,306090.0
2020-02-06,45751.8221,46285.8466,45738.1728,46119.055,120240.0,312172.0
2020-02-07,46065.6371,46071.6378,45695.0406,45784.8107,98933.0,315410.0
2020-02-10,45567.5033,45688.145,45443.9294,45529.7702,127012.0,328901.0
2020-02-11,45687.8814,45820.45,45594.1983,45692.2586,131185.0,336465.0
2020-02-12,45986.1956,45986.1956,45622.5376,45702.0494,107318.0,338643.0
2020-02-13,45819.4285,45989.5568,45723.4429,45854.7068,127544.0,349659.0
2020-02-14,46516.2016,46557.999,45969.0107,46079.7333,84997.0,352386.0
2020-02-17,46684.7867,46704.2659,45990.1803,46468.2577,136452.0,360820.0
2020-02-18,46516.4632,46525.9765,46259.1433,46297.6644,110167.0,341744.0
2020-02-19,46873.4598,46873.4598,46255.9652,46436.7291,100488.0,346264.0
2020-02-20,46428.1563,46585.7136,46273.2017,46456.2133,144088.0,351912.0
2020-02-21,47280.0,47280.0,46022.4966,46026.8622,139967.0,357328.0
2020-02-24,46010.34,46070.6188,45766.9822,46039.8334,158998.0,359790.0
2020-02-25,46039.614,46048.9342,45720.6988,45978.8667,148704.0,363256.0
2020-02-26,45742.8419,45801.1894,45615.3842,45668.3734,134177.0,364132.0
2020-02-27,46035.8615,46035.8615,45482.2872,45490.3291,129291.0,363827.0
2020-02-28,46490.0,46490.0,44330.3669,44446.1256,279256.0,368871.0
2020-03-02,45940.0,45940.0,44554.7871,45311.4578,203194.0,369474.0
2020-03-03,45611.9804,46044.2059,45569.5236,45694.5024,149584.0,365180.0
2020-03-04,45456.0575,45474.5423,45299.1809,45367.9957,131766.0,368618.0
2020-03-05,45315.5701,45496.5501,45308.4194,45417.0045,103212.0,373790.0
2020-03-06,45904.8391,45904.8391,44953.4753,44991.3424,131424.0,383772.0
2020-03-09,45839.5844,45839.5844,43561.2799,43874.5414,241535.0,392229.0
2020-03-10,44239.1185,44884.0377,44239.1185,44688.8083,179274.0,394559.0
2020-03-11,44940.5424,45144.7872,44234.6153,44264.8125,131538.0,402519.0
