date,open,high,low,close,volume,open_interest
2020-01-03,479.8433,499.7884,477.7168,497.9454,134100.0,32687.0
2020-01-06,501.3799,516.0115,496.7368,513.2556,130964.0,32149.0
2020-01-07,509.4302,510.4569,496.8104,499.772,98562.0,32563.0
2020-01-08,498.4186,523.1112,495.9459,505.4791,148965.0,33898.0
2020-01-09,498.7558,499.7766,477.1629,478.9832,158033.0,33357.0
2020-01-10,480.3353,480.7504,474.1592,476.9134,107157.0,31431.0
2020-01-13,477.8762,478.2377,471.8174,474.9535,88992.0,32208.0
2020-01-14,473.913,474.6087,460.4771,463.2253,105550.0,34520.0
2020-01-15,465.4375,468.86,460.7954,461.1379,78433.0,36794.0
2020-01-16,461.6319,463.2334,456.8309,461.3738,81765.0,36932.0
2020-01-17,459.3234,465.7813,459.2412,462.0459,79075.0,35486.0
2020-01-20,463.2503,468.0273,461.7094,464.2202,72308.0,33318.0
2020-01-21,463.4783,464.6817,458.9122,459.8207,54767.0,31319.0
2020-01-22,459.1375,463.1036,456.7742,458.9438,64521.0,29687.0
2020-01-23,458.32,458.4266,443.3599,446.8309,78599.0,26952.0
2020-02-03,414.4363,414.616,414.0903,414.0903,2520.0,26760.0
2020-02-04,396.1938,400.8856,381.602,399.9042,45192.0,28763.0
2020-02-05,393.8288,402.1403,393.8288,398.4205,39749.0,35393.0
2020-02-06,406.3474,409.6877,403.2521,408.4358,43998.0,41011.0
2020-02-07,405.0949,405.7363,402.0698,403.8083,32354.0,45454.0
2020-02-10,394.3963,401.1266,394.3928,399.3743,34920.0,50596.0
2020-02-11,396.5794,399.8887,396.1054,397.1857,43934.0,58227.0
2020-02-12,397.7273,402.8065,397.7273,402.59,51163.0,63388.0
2020-02-13,404.855,409.917,404.855,405.4878,46296.0,64222.0
2020-02-14,409.3283,409.3924,406.0029,408.2219,34064.0,63015.0
2020-02-17,410.1771,411.6798,408.6908,411.2197,33438.0,64325.0
2020-02-18,410.9139,411.3541,407.2955,407.7248,33843.0,64007.0
2020-02-19,410.7433,415.8629,408.8423,414.7776,45807.0,63833.0
2020-02-20,419.9159,423.0072,418.0088,420.7447,38582.0,61988.0
2020-02-21,419.9136,420.1824,414.992,416.5569,32442.0,61970.0
2020-02-24,406.4751,406.4751,401.9103,402.7372,42750.0,60717.0
2020-02-25,400.1295,402.8043,398.0937,402.3735,44653.0,62637.0
2020-02-26,393.4333,393.4333,386.2703,386.3533,60008.0,66401.0
2020-02-27,377.3198,377.3198,370.59,373.349,74728.0,70053.0
2020-02-28,364.2584,366.1043,357.8329,358.6348,79377.0,70547.0
2020-03-02,354.3237,370.5459,354.3237,367.0864,117602.0,75405.0
2020-03-03,382.7156,383.5183,371.9032,376.2067,82251.0,72574.0
2020-03-04,375.2929,377.3184,373.1245,374.6661,61543.0,76109.0
2020-03-05,373.4043,375.482,372.2123,373.7121,52918.0,81144.0
2020-03-06,365.7339,366.5446,355.4794,358.3321,91630.0,85278.0
2020-03-09,338.9914,338.9914,338.8684,338.8715,752.0,85112.0
2020-03-10,308.4158,308.7354,308.3939,308.7341,6265.0,86586.0
2020-03-11,286.7071,296.2108,277.3385,279.5194,237670.0,97437.0
2020-03-12,275.2649,276.6213,260.7144,266.7055,161548.0,102109.0
2020-03-13,262.6533,274.9333,256.875,273.0383,152628.0,102948.0
2020-03-16,262.7727,269.3114,253.8281,254.2228,151216.0,104486.0
2020-03-17,254.3631,256.6389,247.5245,252.6871,150618.0,108831.0
2020-03-18,239.3193,248.1445,239.3193,242.4952,125350.0,111835.0
2020-03-19,227.7841,241.1046,221.5437,237.271,190213.0,112165.0
2020-03-20,249.7898,253.4588,245.5248,253.4538,144528.0,112150.0
2020-03-23,226.3468,251.0563,226.3468,250.6209,183803.0,117308.0
2020-03-24,258.8928,264.7106,256.4584,262.7641,151392.0,118039.0
2020-03-25,264.4023,270.1679,264.4023,268.0178,107966.0,115580.0
2020-03-26,269.034,269.034,261.8844,263.3381,103340.0,116982.0
2020-03-27,264.9473,264.9703,257.8733,260.0422,119838.0,120000.0
2020-03-30,253.9068,257.9152,249.3815,257.6286,161038.0,127681.0
2020-03-31,260.2029,276.2796,259.6015,271.4074,178465.0,126905.0
2020-04-01,269.6824,272.4442,266.5344,269.1403,130223.0,124423.0
2020-04-02,272.0427,296.3786,270.6832,296.2706,236701.0,127538.0
2020-04-03,303.4757,303.8021,283.5693,290.7215,245842.0,125673.0
2020-04-07,303.7694,304.9118,299.9312,304.514,147103.0,125178.0
2020-04-08,299.4305,303.465,293.6634,300.355,140931.0,126392.0
2020-04-09,306.1825,309.1771,304.4285,308.1602,127799.0,128657.0
2020-04-10,296.6126,303.0092,294.4005,298.1566,112380.0,132012.0
2020-04-13,305.5963,312.8629,293.9216,294.3852,199777.0,140370.0
2020-04-14,296.7048,298.87,289.0374,290.801,157955.0,151761.0
2020-04-15,284.3228,289.9511,281.2329,287.11,179702.0,159853.0
2020-04-16,286.6027,290.5853,275.5139,275.5497,245072.0,172246.0
2020-04-17,279.2329,280.5545,260.1614,270.5906,329119.0,184680.0
2020-04-20,261.2954,263.038,252.7673,260.593,245870.0,188352.0
2020-04-21,251.6908,258.4743,247.3071,248.713,339412.0,187159.0
2020-04-22,229.2411,235.9907,229.2002,229.6036,46196.0,185398.0
2020-04-23,229.5212,260.2097,227.0752,251.9233,390325.0,181377.0
2020-04-24,254.315,261.2342,252.1633,256.0969,288590.0,179898.0
2020-04-27,250.1531,251.7051,242.9266,243.5156,329901.0,182933.0
2020-04-28,240.0413,250.0192,235.1957,245.9107,390364.0,185863.0
2020-04-29,252.5255,264.9809,251.9591,259.9628,401718.0,178305.0
2020-04-30,271.0324,273.8861,262.8714,263.6268,306327.0,177989.0
2020-05-06,297.7048,297.7048,275.2003,276.8143,218525.0,172376.0
2020-05-07,271.2795,278.2447,268.3062,274.7998,319364.0,172197.0
2020-05-08,283.6532,284.7738,266.3525,275.5917,406002.0,169041.0
2020-05-11,274.4714,277.2415,269.6767,274.3355,379840.0,170031.0
2020-05-12,274.9208,275.1989,267.0331,268.942,237654.0,173281.0
2020-05-13,272.3956,272.3956,265.3206,267.4164,269379.0,178904.0
2020-05-14,268.5809,268.5809,257.7928,262.9576,309974.0,186426.0
2020-05-15,263.2838,277.286,262.4583,275.0179,367845.0,186838.0
2020-05-18,275.3001,283.0867,271.2981,282.0782,387096.0,185926.0
2020-05-19,284.975,291.7048,278.704,282.0494,494794.0,183832.0
2020-05-20,282.9429,285.5433,280.8456,283.6109,264947.0,185175.0
2020-05-21,286.4795,292.8013,285.9908,292.4422,310613.0,186997.0
2020-05-22,293.056,293.4838,277.1787,281.9443,404413.0,184415.0
2020-05-25,281.5569,288.6814,280.6276,287.1156,297887.0,183561.0
2020-05-26,286.8051,292.0158,286.1333,291.6372,194898.0,186721.0
2020-05-27,292.0335,293.5927,287.9489,290.9184,257246.0,184166.0
2020-05-28,290.0823,292.6925,288.4229,290.9805,306945.0,179336.0
2020-05-29,292.0115,295.7988,291.3352,293.1576,249678.0,176872.0
2020-06-01,294.5968,300.163,294.4905,298.698,212364.0,158860.0
2020-06-02,299.1979,300.5852,297.1958,299.5066,166228.0,157497.0
2020-06-03,300.4807,310.0738,299.6127,309.415,278174.0,156064.0
2020-06-04,305.4573,306.6243,298.4339,301.5963,269822.0,156800.0
2020-06-05,302.1933,306.0488,300.8349,305.902,192308.0,157516.0
2020-06-08,312.1078,317.9782,307.8311,316.1079,321949.0,151537.0
2020-06-09,311.607,314.1837,307.6665,311.0095,238203.0,151113.0
2020-06-10,308.0166,312.1592,307.2225,308.2031,189391.0,152293.0
2020-06-11,308.6206,310.2105,301.4208,303.5796,235319.0,154578.0
2020-06-12,298.4327,299.478,285.6769,289.5278,360644.0,156683.0
2020-06-15,294.2299,299.6713,284.845,286.5964,359642.0,159685.0
2020-06-16,287.1054,302.3045,286.6569,301.5482,328473.0,156004.0
2020-06-17,305.3506,310.1142,301.9324,305.1824,326642.0,153050.0
2020-06-18,305.12,306.8436,302.3968,306.0172,198352.0,153974.0
2020-06-19,306.0878,310.8337,304.9134,309.7469,164851.0,152773.0
2020-06-22,311.9765,313.2627,305.5761,308.6587,256558.0,148931.0
2020-06-23,308.1679,313.2179,307.9386,310.2093,212503.0,146446.0
2020-06-24,311.804,312.703,308.7109,311.1412,165057.0,140826.0
2020-06-29,303.6334,304.0842,296.077,298.3351,118558.0,145818.0
2020-06-30,302.0282,307.469,301.4924,304.8299,154293.0,142149.0
2020-07-01,305.9854,308.2026,303.7276,307.6308,147574.0,130712.0
2020-07-02,306.6409,313.1838,305.3854,311.732,183114.0,131558.0
2020-07-03,312.8863,314.4615,310.2202,312.0139,149790.0,128727.0
2020-07-06,311.583,314.3338,308.4424,313.7123,127531.0,125830.0
2020-07-07,313.3449,314.8125,310.8886,311.5813,139390.0,126038.0
2020-07-08,312.949,317.6896,311.4198,313.8959,151448.0,124683.0
2020-07-09,314.9647,315.9503,313.6646,314.9576,119039.0,123464.0
2020-07-10,315.1485,315.6662,306.9224,308.679,193722.0,126972.0
2020-07-13,310.162,314.2109,310.1254,312.814,147834.0,122101.0
2020-07-14,312.5225,314.0594,305.9488,309.9645,160672.0,125067.0
2020-07-15,308.8007,313.828,308.0771,312.6336,139331.0,120874.0
2020-07-16,313.9862,315.1064,304.6705,307.1464,236626.0,128093.0
2020-07-17,308.8411,310.625,306.2834,306.9317,139860.0,131750.0
2020-07-20,306.9055,308.5158,299.5582,300.3786,160605.0,138647.0
2020-07-21,300.6788,308.9578,300.0526,306.3716,149578.0,134085.0
2020-07-22,310.7842,311.9949,307.1164,308.5113,131954.0,131562.0
2020-07-23,308.1414,309.0312,305.2616,308.4389,112536.0,130786.0
2020-07-24,306.6238,309.2974,302.1041,303.358,135615.0,133018.0
2020-07-27,304.4225,305.7571,301.034,302.5089,123553.0,132380.0
2020-07-28,303.8873,304.3611,296.977,299.922,151654.0,136658.0
2020-07-29,298.9281,300.8257,297.1212,300.0527,117302.0,137559.0
2020-07-30,300.4202,303.8021,299.8229,300.1825,120812.0,135498.0
2020-07-31,298.3135,300.4991,289.7256,296.1308,233110.0,139585.0
2020-08-03,298.752,299.3131,291.0706,292.8169,165746.0,136247.0
2020-08-04,294.2366,297.0029,292.9958,294.617,137599.0,133856.0
